# debian	architecture	language	engine	md5	date	sort_ms	libc	icu
10	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-06	687129.488	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ja	icu	bff4f748d8e0b44dd52118754ec4128a	2026-08-06	23703.124	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ko	glibc	d19baaa641a4d72b5bb20d78e9a59c8b	2026-08-06	842682.899	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ko	icu	49ca87ce1f8e948061970be008d05168	2026-08-06	22056.675	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	7821148.754	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ru	icu	3eca86f52b97882f5b7c3de43a6bcd95	2026-08-06	24848.186	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-06	8735903.049	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	zh	icu	48aefc3d71c94b81b75f33312ad95533	2026-08-07	25028.701	2.28-10+deb10u4	63.1-6+deb10u3
11	x86_64	ar	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	7577614.833	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	ar	icu	0eb9e12612126a4ed637bef6a8ec1d45	2026-08-06	21594.451	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	de	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	6488924.577	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	de	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-06	16766.996	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8364791.619	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	en	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-06	22122.833	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	es	glibc	26f199a37d7ad3dc6ec4f0747eac6006	2026-08-06	7754644.972	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	es	icu	2ba60a48450de6300684c7fc48d0625c	2026-08-06	21732.743	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	fr	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8360456.890	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	fr	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-06	14753.395	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-06	708899.774	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	ja	icu	dad160553d20e500a55a5cc4e6d3ca1a	2026-08-06	21015.868	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	ko	glibc	d19baaa641a4d72b5bb20d78e9a59c8b	2026-08-06	880856.183	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	ko	icu	71d7915ba551b3c32da5247ed5a29e2c	2026-08-06	22745.568	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8011080.119	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	ru	icu	fbe9c3b1cb5ceca050255c0231a936b1	2026-08-06	21005.022	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-06	9408275.320	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	zh	icu	05885ce6e2caf35b0da4717dbf7dbd15	2026-08-07	21843.472	2.31-13+deb11u14	67.1-7+deb11u1
12	x86_64	ar	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8293220.418	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	ar	icu	5c216d3cb5e365ec763c7ef91136bf48	2026-08-06	19526.215	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	de	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8228407.399	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	de	icu	0cfdb434ae9b87241750e06a5d514f66	2026-08-06	19733.550	2.36-9+deb12u14	72.1-3+deb12u1
