CodePoint Character PositionChange
00000123 0{{{{0 <1,38628d0
00000123 0{{{{0 >258960a220614,220652
00000124 0||||0 <1,38628d0
00000124 0||||0 >258960a220614,220652
00000125 0}}}}0 <1,38628d0
00000125 0}}}}0 >258960a220614,220652
00000126 0~~~~0 <1,38628d0
00000126 0~~~~0 >258960a220614,220652
00000160 0    0 <260717,261263c229106,239042
00000160 0    0 >258960a220614,220652
00000161 0¡¡¡¡0 <1,38628d0
00000161 0¡¡¡¡0 >258960a220614,220652
00000162 0¢¢¢¢0 <1,38628d0
00000162 0¢¢¢¢0 >258960a220614,220652
00000163 0££££0 <1,38628d0
00000163 0££££0 >258960a220614,220652
00000164 0¤¤¤¤0 <1,38628d0
00000164 0¤¤¤¤0 >258960a220614,220652
00000165 0¥¥¥¥0 <1,38628d0
00000165 0¥¥¥¥0 >258960a220614,220652
00000166 0¦¦¦¦0 <1,38628d0
00000166 0¦¦¦¦0 >258960a220614,220652
00000167 0§§§§0 <1,38628d0
00000167 0§§§§0 >258960a220614,220652
00000168 0¨¨¨¨0 <1,38628d0
00000168 0¨¨¨¨0 >258960a220614,220652
00000169 0©©©©0 <1,38628d0
00000169 0©©©©0 >258960a220614,220652
00000171 0««««0 <1,38628d0
00000171 0««««0 >258961a220654,220674
00000172 0¬¬¬¬0 <1,38628d0
00000172 0¬¬¬¬0 >258961a220654,220674
00000173 0­­­­0 <1,38628d0
00000173 0­­­­0 >258961a220654,220674
00000174 0®®®®0 <1,38628d0
00000174 0®®®®0 >258961a220654,220674
00000175 0¯¯¯¯0 <1,38628d0
00000175 0¯¯¯¯0 >258961a220654,220674
00000176 0°°°°0 <1,38628d0
00000176 0°°°°0 >258961a220654,220674
00000177 0±±±±0 <1,38628d0
00000177 0±±±±0 >258961a220654,220674
00000178 0²²²²0 <258844,258858d220566
00000178 0²²²²0 >258961a220654,220674
00000179 0³³³³0 <258860,258874d220567
00000179 0³³³³0 >258961a220654,220674
00000180 0´´´´0 <1,38628d0
00000180 0´´´´0 >258961a220654,220674
00000181 0µµµµ0 <1,38628d0
00000181 0µµµµ0 >258961a220654,220674
00000182 0¶¶¶¶0 <1,38628d0
00000182 0¶¶¶¶0 >258961a220654,220674
00000183 0····0 <1,38628d0
00000183 0····0 >258961a220654,220674
00000184 0¸¸¸¸0 <1,38628d0
00000184 0¸¸¸¸0 >258961a220654,220674
00000185 0¹¹¹¹0 <258828,258842d220565
00000185 0¹¹¹¹0 >258961a220654,220674
00000186 0ºººº0 <259287,259313c220812,220813
00000186 0ºººº0 >258961a220654,220674
00000187 0»»»»0 <1,38628d0
00000187 0»»»»0 >258961a220654,220674
00000188 0¼¼¼¼0 <1,38628d0
00000188 0¼¼¼¼0 >258961a220654,220674
00000189 0½½½½0 <1,38628d0
00000189 0½½½½0 >258961a220654,220674
00000190 0¾¾¾¾0 <1,38628d0
00000190 0¾¾¾¾0 >258961a220654,220674
00000191 0¿¿¿¿0 <1,38628d0
00000191 0¿¿¿¿0 >258961a220654,220674
00000198 0ÆÆÆÆ0 <258980,259040d220743
00000198 0ÆÆÆÆ0 >258967a220681,220706
00000199 0ÇÇÇÇ0 <258980,259040d220743
00000199 0ÇÇÇÇ0 >258967a220681,220706
00000200 0ÈÈÈÈ0 <259061,259089d220755
00000200 0ÈÈÈÈ0 >258967a220681,220706
00000201 0ÉÉÉÉ0 <259061,259089d220755
00000201 0ÉÉÉÉ0 >258967a220681,220706
00000202 0ÊÊÊÊ0 <259061,259089d220755
00000202 0ÊÊÊÊ0 >258967a220681,220706
00000203 0ËËËË0 <259061,259089d220755
00000203 0ËËËË0 >258967a220681,220706
00000204 0ÌÌÌÌ0 <259170,259194d220777
00000204 0ÌÌÌÌ0 >258967a220681,220706
00000205 0ÍÍÍÍ0 <259170,259194d220777
00000205 0ÍÍÍÍ0 >258967a220681,220706
00000206 0ÎÎÎÎ0 <259170,259194d220777
00000206 0ÎÎÎÎ0 >258967a220681,220706
00000207 0ÏÏÏÏ0 <259170,259194d220777
00000207 0ÏÏÏÏ0 >258967a220681,220706
00000208 0ÐÐÐÐ0 <259049,259056d220751
00000208 0ÐÐÐÐ0 >258967a220681,220706
00000209 0ÑÑÑÑ0 <259255,259279d220804
00000209 0ÑÑÑÑ0 >258967a220681,220706
00000210 0ÒÒÒÒ0 <259287,259313c220812,220813
00000210 0ÒÒÒÒ0 >258967a220681,220706
00000211 0ÓÓÓÓ0 <259287,259313c220812,220813
00000211 0ÓÓÓÓ0 >258967a220681,220706
00000212 0ÔÔÔÔ0 <259287,259313c220812,220813
00000212 0ÔÔÔÔ0 >258967a220681,220706
00000213 0ÕÕÕÕ0 <259287,259313c220812,220813
00000213 0ÕÕÕÕ0 >258967a220681,220706
00000214 0ÖÖÖÖ0 <259287,259313c220812,220813
00000214 0ÖÖÖÖ0 >258967a220681,220706
00000215 0××××0 <1,38628d0
00000215 0××××0 >258967a220681,220706
00000216 0ØØØØ0 <259287,259313c220812,220813
00000216 0ØØØØ0 >258967a220681,220706
00000217 0ÙÙÙÙ0 <259440,259460d220841
00000217 0ÙÙÙÙ0 >258967a220681,220706
00000218 0ÚÚÚÚ0 <259440,259460d220841
00000218 0ÚÚÚÚ0 >258967a220681,220706
00000219 0ÛÛÛÛ0 <259440,259460d220841
00000219 0ÛÛÛÛ0 >258967a220681,220706
00000220 0ÜÜÜÜ0 <259440,259460d220841
00000220 0ÜÜÜÜ0 >258967a220681,220706
00000221 0ÝÝÝÝ0 <259487,259549c221017,221020
00000221 0ÝÝÝÝ0 >258967a220681,220706
00000222 0ÞÞÞÞ0 <259577,259877c221031,221372
00000222 0ÞÞÞÞ0 >258967a220681,220706
00000223 0ßßßß0 <259417,259433d220835
00000223 0ßßßß0 >258967a220681,220706
00000230 0ææææ0 <258980,259040d220743
00000230 0ææææ0 >258973a220713,220737
00000231 0çççç0 <258980,259040d220743
00000231 0çççç0 >258973a220713,220737
00000232 0èèèè0 <259061,259089d220755
00000232 0èèèè0 >258973a220713,220737
00000233 0éééé0 <259061,259089d220755
00000233 0éééé0 >258973a220713,220737
00000234 0êêêê0 <259061,259089d220755
00000234 0êêêê0 >258973a220713,220737
00000235 0ëëëë0 <259061,259089d220755
00000235 0ëëëë0 >258973a220713,220737
00000236 0ìììì0 <259170,259194d220777
00000236 0ìììì0 >258973a220713,220737
00000237 0íííí0 <259170,259194d220777
00000237 0íííí0 >258973a220713,220737
00000238 0îîîî0 <259170,259194d220777
00000238 0îîîî0 >258973a220713,220737
00000239 0ïïïï0 <259170,259194d220777
00000239 0ïïïï0 >258973a220713,220737
00000240 0ðððð0 <259049,259056d220751
00000240 0ðððð0 >258973a220713,220737
00000241 0ññññ0 <259255,259279d220804
00000241 0ññññ0 >258973a220713,220737
00000242 0òòòò0 <259287,259313c220812,220813
00000242 0òòòò0 >258973a220713,220737
00000243 0óóóó0 <259287,259313c220812,220813
00000243 0óóóó0 >258973a220713,220737
00000244 0ôôôô0 <259287,259313c220812,220813
00000244 0ôôôô0 >258973a220713,220737
00000245 0õõõõ0 <259287,259313c220812,220813
00000245 0õõõõ0 >258973a220713,220737
00000246 0öööö0 <259287,259313c220812,220813
00000246 0öööö0 >258973a220713,220737
00000247 0÷÷÷÷0 <1,38628d0
00000247 0÷÷÷÷0 >258973a220713,220737
00000248 0øøøø0 <259287,259313c220812,220813
00000248 0øøøø0 >258973a220713,220737
00000249 0ùùùù0 <259440,259460d220841
00000249 0ùùùù0 >258973a220713,220737
00000250 0úúúú0 <259440,259460d220841
00000250 0úúúú0 >258973a220713,220737
00000251 0ûûûû0 <259440,259460d220841
00000251 0ûûûû0 >258973a220713,220737
00000252 0üüüü0 <259440,259460d220841
00000252 0üüüü0 >258973a220713,220737
00000253 0ýýýý0 <259487,259549c221017,221020
00000253 0ýýýý0 >258973a220713,220737
00000254 0þþþþ0 <259577,259877c221031,221372
00000254 0þþþþ0 >258973a220713,220737
00000255 0ÿÿÿÿ0 <259487,259549c221017,221020
00000255 0ÿÿÿÿ0 >282165a259945,282165
00000312 0ĸĸĸĸ0 <259320,259388c220820,220821
00000312 0ĸĸĸĸ0 >---
00000330 0ŊŊŊŊ0 <259255,259279d220804
00000330 0ŊŊŊŊ0 >---
00000331 0ŋŋŋŋ0 <259255,259279d220804
00000331 0ŋŋŋŋ0 >---
00000338 0ŒŒŒŒ0 <259287,259313c220812,220813
00000338 0ŒŒŒŒ0 >---
00000339 0œœœœ0 <259287,259313c220812,220813
00000339 0œœœœ0 >---
00000372 0ŴŴŴŴ0 <259487,259549c221017,221020
00000372 0ŴŴŴŴ0 >259472a220854,220911
00000373 0ŵŵŵŵ0 <259487,259549c221017,221020
00000373 0ŵŵŵŵ0 >259472a220854,220911
00000374 0ŶŶŶŶ0 <259487,259549c221017,221020
00000374 0ŶŶŶŶ0 >259472a220854,220911
00000375 0ŷŷŷŷ0 <259487,259549c221017,221020
00000375 0ŷŷŷŷ0 >259472a220854,220911
00000376 0ŸŸŸŸ0 <259487,259549c221017,221020
00000376 0ŸŸŸŸ0 >259472a220854,220911
00000377 0ŹŹŹŹ0 <259552,259574c221023,221028
00000377 0ŹŹŹŹ0 >259472a220854,220911
00000378 0źźźź0 <259552,259574c221023,221028
00000378 0źźźź0 >259472a220854,220911
00000379 0ŻŻŻŻ0 <259552,259574c221023,221028
00000379 0ŻŻŻŻ0 >259472a220854,220911
00000380 0żżżż0 <259552,259574c221023,221028
00000380 0żżżż0 >259472a220854,220911
00000381 0ŽŽŽŽ0 <259552,259574c221023,221028
00000381 0ŽŽŽŽ0 >259472a220854,220911
00000382 0žžžž0 <259552,259574c221023,221028
00000382 0žžžž0 >259472a220854,220911
00000383 0ſſſſ0 <259417,259433d220835
00000383 0ſſſſ0 >282165a259945,282165
00000384 0ƀƀƀƀ0 <1,38628d0
00000384 0ƀƀƀƀ0 >259472a220854,220911
00000385 0ƁƁƁƁ0 <258980,259040d220743
00000385 0ƁƁƁƁ0 >259472a220854,220911
00000386 0ƂƂƂƂ0 <1,38628d0
00000386 0ƂƂƂƂ0 >259472a220854,220911
00000387 0ƃƃƃƃ0 <1,38628d0
00000387 0ƃƃƃƃ0 >259472a220854,220911
00000388 0ƄƄƄƄ0 <1,38628d0
00000388 0ƄƄƄƄ0 >259472a220854,220911
00000389 0ƅƅƅƅ0 <1,38628d0
00000389 0ƅƅƅƅ0 >259472a220854,220911
00000390 0ƆƆƆƆ0 <259320,259388c220820,220821
00000390 0ƆƆƆƆ0 >259472a220854,220911
00000391 0ƇƇƇƇ0 <259049,259056d220751
00000391 0ƇƇƇƇ0 >259472a220854,220911
00000392 0ƈƈƈƈ0 <259049,259056d220751
00000392 0ƈƈƈƈ0 >259472a220854,220911
00000393 0ƉƉƉƉ0 <1,38628d0
00000393 0ƉƉƉƉ0 >259472a220854,220911
00000394 0ƊƊƊƊ0 <259061,259089d220755
00000394 0ƊƊƊƊ0 >259472a220854,220911
00000395 0ƋƋƋƋ0 <1,38628d0
00000395 0ƋƋƋƋ0 >259472a220854,220911
00000396 0ƌƌƌƌ0 <1,38628d0
00000396 0ƌƌƌƌ0 >259472a220854,220911
00000397 0ƍƍƍƍ0 <1,38628d0
00000397 0ƍƍƍƍ0 >259472a220854,220911
00000398 0ƎƎƎƎ0 <259100,259143d220765
00000398 0ƎƎƎƎ0 >259472a220854,220911
00000399 0ƏƏƏƏ0 <259100,259143d220765
00000399 0ƏƏƏƏ0 >259472a220854,220911
00000400 0ƐƐƐƐ0 <259100,259143d220765
00000400 0ƐƐƐƐ0 >259472a220854,220911
00000401 0ƑƑƑƑ0 <1,38628d0
00000401 0ƑƑƑƑ0 >259472a220854,220911
00000402 0ƒƒƒƒ0 <1,38628d0
00000402 0ƒƒƒƒ0 >259472a220854,220911
00000403 0ƓƓƓƓ0 <259152,259165d220773
00000403 0ƓƓƓƓ0 >259472a220854,220911
00000404 0ƔƔƔƔ0 <1,38628d0
00000404 0ƔƔƔƔ0 >259472a220854,220911
00000405 0ƕƕƕƕ0 <259170,259194d220777
00000405 0ƕƕƕƕ0 >259472a220854,220911
00000406 0ƖƖƖƖ0 <1,38628d0
00000406 0ƖƖƖƖ0 >259472a220854,220911
00000407 0ƗƗƗƗ0 <1,38628d0
00000407 0ƗƗƗƗ0 >259472a220854,220911
00000408 0ƘƘƘƘ0 <259230,259244c220794
00000408 0ƘƘƘƘ0 >259472a220854,220911
00000409 0ƙƙƙƙ0 <259230,259244c220794
00000409 0ƙƙƙƙ0 >259472a220854,220911
00000410 0ƚƚƚƚ0 <1,38628d0
00000410 0ƚƚƚƚ0 >259472a220854,220911
00000411 0ƛƛƛƛ0 <1,38628d0
00000411 0ƛƛƛƛ0 >259472a220854,220911
00000412 0ƜƜƜƜ0 <1,38628d0
00000412 0ƜƜƜƜ0 >259472a220854,220911
00000413 0ƝƝƝƝ0 <1,38628d0
00000413 0ƝƝƝƝ0 >259472a220854,220911
00000414 0ƞƞƞƞ0 <1,38628d0
00000414 0ƞƞƞƞ0 >259472a220854,220911
00000415 0ƟƟƟƟ0 <259320,259388c220820,220821
00000415 0ƟƟƟƟ0 >259472a220854,220911
00000416 0ƠƠƠƠ0 <259320,259388c220820,220821
00000416 0ƠƠƠƠ0 >259472a220854,220911
00000417 0ơơơơ0 <259320,259388c220820,220821
00000417 0ơơơơ0 >259472a220854,220911
00000418 0ƢƢƢƢ0 <259152,259165d220773
00000418 0ƢƢƢƢ0 >259472a220854,220911
00000419 0ƣƣƣƣ0 <259152,259165d220773
00000419 0ƣƣƣƣ0 >259472a220854,220911
00000420 0ƤƤƤƤ0 <1,38628d0
00000420 0ƤƤƤƤ0 >259472a220854,220911
00000421 0ƥƥƥƥ0 <1,38628d0
00000421 0ƥƥƥƥ0 >259472a220854,220911
00000422 0ƦƦƦƦ0 <1,38628d0
00000422 0ƦƦƦƦ0 >259472a220854,220911
00000423 0ƧƧƧƧ0 <1,38628d0
00000423 0ƧƧƧƧ0 >259472a220854,220911
00000424 0ƨƨƨƨ0 <1,38628d0
00000424 0ƨƨƨƨ0 >259472a220854,220911
00000425 0ƩƩƩƩ0 <1,38628d0
00000425 0ƩƩƩƩ0 >259472a220854,220911
00000426 0ƪƪƪƪ0 <1,38628d0
00000426 0ƪƪƪƪ0 >259472a220854,220911
00000427 0ƫƫƫƫ0 <1,38628d0
00000427 0ƫƫƫƫ0 >259472a220854,220911
00000428 0ƬƬƬƬ0 <1,38628d0
00000428 0ƬƬƬƬ0 >259472a220854,220911
00000429 0ƭƭƭƭ0 <1,38628d0
00000429 0ƭƭƭƭ0 >259472a220854,220911
00000430 0ƮƮƮƮ0 <1,38628d0
00000430 0ƮƮƮƮ0 >259472a220854,220911
00000433 0ƱƱƱƱ0 <1,38628d0
00000433 0ƱƱƱƱ0 >259474a220914,220947
00000434 0ƲƲƲƲ0 <1,38628d0
00000434 0ƲƲƲƲ0 >259474a220914,220947
00000435 0ƳƳƳƳ0 <259487,259549c221017,221020
00000435 0ƳƳƳƳ0 >259474a220914,220947
00000436 0ƴƴƴƴ0 <259487,259549c221017,221020
00000436 0ƴƴƴƴ0 >259474a220914,220947
00000437 0ƵƵƵƵ0 <259552,259574c221023,221028
00000437 0ƵƵƵƵ0 >259474a220914,220947
00000438 0ƶƶƶƶ0 <259552,259574c221023,221028
00000438 0ƶƶƶƶ0 >259474a220914,220947
00000439 0ƷƷƷƷ0 <259577,259877c221031,221372
00000439 0ƷƷƷƷ0 >259474a220914,220947
00000440 0ƸƸƸƸ0 <1,38628d0
00000440 0ƸƸƸƸ0 >259474a220914,220947
00000441 0ƹƹƹƹ0 <1,38628d0
00000441 0ƹƹƹƹ0 >259474a220914,220947
00000442 0ƺƺƺƺ0 <1,38628d0
00000442 0ƺƺƺƺ0 >259474a220914,220947
00000443 0ƻƻƻƻ0 <1,38628d0
00000443 0ƻƻƻƻ0 >259474a220914,220947
00000444 0ƼƼƼƼ0 <1,38628d0
00000444 0ƼƼƼƼ0 >259474a220914,220947
00000445 0ƽƽƽƽ0 <1,38628d0
00000445 0ƽƽƽƽ0 >259474a220914,220947
00000446 0ƾƾƾƾ0 <1,38628d0
00000446 0ƾƾƾƾ0 >259474a220914,220947
00000447 0ƿƿƿƿ0 <259487,259549c221017,221020
00000447 0ƿƿƿƿ0 >259474a220914,220947
00000448 0ǀǀǀǀ0 <1,38628d0
00000448 0ǀǀǀǀ0 >259474a220914,220947
00000449 0ǁǁǁǁ0 <1,38628d0
00000449 0ǁǁǁǁ0 >259474a220914,220947
00000450 0ǂǂǂǂ0 <1,38628d0
00000450 0ǂǂǂǂ0 >259474a220914,220947
00000451 0ǃǃǃǃ0 <1,38628d0
00000451 0ǃǃǃǃ0 >259474a220914,220947
00000452 0ǄǄǄǄ0 <259061,259089d220755
00000452 0ǄǄǄǄ0 >259474a220914,220947
00000453 0ǅǅǅǅ0 <259061,259089d220755
00000453 0ǅǅǅǅ0 >259474a220914,220947
00000454 0ǆǆǆǆ0 <259061,259089d220755
00000454 0ǆǆǆǆ0 >259474a220914,220947
00000455 0ǇǇǇǇ0 <259230,259244c220794
00000455 0ǇǇǇǇ0 >259474a220914,220947
00000456 0ǈǈǈǈ0 <259230,259244c220794
00000456 0ǈǈǈǈ0 >259474a220914,220947
00000457 0ǉǉǉǉ0 <259230,259244c220794
00000457 0ǉǉǉǉ0 >259474a220914,220947
00000458 0ǊǊǊǊ0 <259255,259279d220804
00000458 0ǊǊǊǊ0 >259474a220914,220947
00000459 0ǋǋǋǋ0 <259255,259279d220804
00000459 0ǋǋǋǋ0 >259474a220914,220947
00000460 0ǌǌǌǌ0 <259255,259279d220804
00000460 0ǌǌǌǌ0 >259474a220914,220947
00000461 0ǍǍǍǍ0 <258980,259040d220743
00000461 0ǍǍǍǍ0 >259474a220914,220947
00000462 0ǎǎǎǎ0 <258980,259040d220743
00000462 0ǎǎǎǎ0 >259474a220914,220947
00000463 0ǏǏǏǏ0 <259205,259218d220787
00000463 0ǏǏǏǏ0 >259474a220914,220947
00000464 0ǐǐǐǐ0 <259205,259218d220787
00000464 0ǐǐǐǐ0 >259474a220914,220947
00000465 0ǑǑǑǑ0 <259320,259388c220820,220821
00000465 0ǑǑǑǑ0 >259474a220914,220947
