CodePoint String PositionChange
00064342 ﭖﭖD <3725322,3725325d3725329
00064342 ﭖﭖDD >3725302a3725319
00064342 ﭖﭖDD <3725327,3725330d3725330
00064343 BﭗB <2074471,2074474d2074470
00064343 BﭗB >2074475a2074472
00064343 DﭗD <3674447,3674450d3674446
00064343 DﭗD >3674451a3674448
00064343 ﭗﭗ >3725283a3725285
00064343 ﭗﭗ <3725307,3725310d3725326
00064343 ﭗﭗB >3725288a3725294
00064343 ﭗﭗB <3725312,3725315d3725327
00064343 ﭗﭗBB >3725293a3725303
00064343 ﭗﭗBB <3725317,3725320d3725328
00064343 ﭗﭗD >3725298a3725312
00064343 ﭗﭗD <3725322,3725325d3725329
00064343 ﭗﭗDD >3725303a3725321
00064343 ﭗﭗDD <3725327,3725330d3725330
00064344 BﭘB <2074471,2074474d2074470
00064344 BﭘB >2074476a2074474
00064344 DﭘD <3674447,3674450d3674446
00064344 DﭘD >3674452a3674450
00064344 ﭘﭘ >3725284a3725287
00064344 ﭘﭘ <3725307,3725310d3725326
00064344 ﭘﭘB >3725289a3725296
00064344 ﭘﭘB <3725312,3725315d3725327
00064344 ﭘﭘBB >3725294a3725305
00064344 ﭘﭘBB <3725317,3725320d3725328
00064344 ﭘﭘD >3725299a3725314
00064344 ﭘﭘD <3725322,3725325d3725329
00064344 ﭘﭘDD >3725304a3725323
00064344 ﭘﭘDD <3725327,3725330d3725330
00064345 BﭙB <2074471,2074474d2074470
00064345 BﭙB >2074477a2074476
00064345 DﭙD <3674447,3674450d3674446
00064345 DﭙD >3674453a3674452
00064345 ﭙﭙ >3725285a3725289
00064345 ﭙﭙ <3725307,3725310d3725326
00064345 ﭙﭙB >3725290a3725298
00064345 ﭙﭙB <3725312,3725315d3725327
00064345 ﭙﭙBB >3725295a3725307
00064345 ﭙﭙBB <3725317,3725320d3725328
00064345 ﭙﭙD >3725300a3725316
00064345 ﭙﭙD <3725322,3725325d3725329
00064345 ﭙﭙDD >3725305a3725325
00064345 ﭙﭙDD <3725327,3725330d3725330
00064358 ﭦﭦ >3725412a3725413
00064358 ﭦﭦ <3725437,3725440d3725456
00064358 ﭦﭦB >3725417a3725422
00064358 ﭦﭦB <3725442,3725445d3725457
00064358 ﭦﭦBB >3725422a3725431
00064358 ﭦﭦBB <3725447,3725450d3725458
00064358 ﭦﭦD >3725427a3725440
00064358 ﭦﭦD <3725452,3725455d3725459
00064358 ﭦﭦDD >3725432a3725449
00064358 ﭦﭦDD <3725457,3725460d3725460
00064359 BﭧB <2074497,2074500d2074496
00064359 BﭧB >2074501a2074498
00064359 DﭧD <3674473,3674476d3674472
00064359 DﭧD >3674477a3674474
00064359 ﭧﭧ >3725413a3725415
00064359 ﭧﭧ <3725437,3725440d3725456
00064359 ﭧﭧB >3725418a3725424
00064359 ﭧﭧB <3725442,3725445d3725457
00064359 ﭧﭧBB >3725423a3725433
00064359 ﭧﭧBB <3725447,3725450d3725458
