CodePoint Character PositionChange
00012591 0ㄯㄯㄯㄯ0 <282080,282165d282165
00012591 0ㄯㄯㄯㄯ0 >231635a231696
00012703 0㆟㆟㆟㆟0 <282080,282165d282165
00012703 0㆟㆟㆟㆟0 >231744a231806
00012735 0ㆿㆿㆿㆿ0 <282080,282165d282165
00012735 0ㆿㆿㆿㆿ0 >231775a231838
00012799 0ㇿㇿㇿㇿ0 <282080,282165d282165
00012799 0ㇿㇿㇿㇿ0 >231826a231890
00013055 0㋿㋿㋿㋿0 <282080,282165d282165
00013055 0㋿㋿㋿㋿0 >232080a232145
00013311 0㏿㏿㏿㏿0 <282080,282165d282165
00013311 0㏿㏿㏿㏿0 >232335a232401
00019903 0䶿䶿䶿䶿0 <282080,282165d282165
00019903 0䶿䶿䶿䶿0 >238926a238993
00019967 0䷿䷿䷿䷿0 <282080,282165d282165
00019967 0䷿䷿䷿䷿0 >238989a239057
00042239 0꓿꓿꓿꓿0 <282080,282165d282165
00042239 0꓿꓿꓿꓿0 >261245a261314
00042655 0ꚟꚟꚟꚟ0 <282080,282165d282165
00042655 0ꚟꚟꚟꚟ0 >261640a261710
00042783 0ꜟꜟꜟꜟ0 <282080,282165d282165
00042783 0ꜟꜟꜟꜟ0 >261759a261830
00043007 0ꟿꟿꟿꟿ0 <282080,282165d282165
00043007 0ꟿꟿꟿꟿ0 >261938a262010
00043263 0ꣿꣿꣿꣿ0 <282080,282165d282165
00043263 0ꣿꣿꣿꣿ0 >262162a262235
00043311 0꤯꤯꤯꤯0 <282080,282165d282165
00043311 0꤯꤯꤯꤯0 >262209a262283
00043359 0꥟꥟꥟꥟0 <282080,282165d282165
00043359 0꥟꥟꥟꥟0 >262245a262320
00043487 0꧟꧟꧟꧟0 <282080,282165d282165
00043487 0꧟꧟꧟꧟0 >262364a262440
00043615 0꩟꩟꩟꩟0 <282080,282165d282165
00043615 0꩟꩟꩟꩟0 >262477a262554
00043647 0ꩿꩿꩿꩿ0 <282080,282165d282165
00043647 0ꩿꩿꩿꩿ0 >262508a262586
00043743 0꫟꫟꫟꫟0 <282080,282165d282165
00043743 0꫟꫟꫟꫟0 >262579a262658
00043967 0ꮿꮿꮿꮿ0 <282080,282165d282165
00043967 0ꮿꮿꮿꮿ0 >262773a262853
00063743 00 <282080,282165d282165
00063743 00 >280472a280553
00064335 0ﭏﭏﭏﭏ0 <282080,282165d282165
00064335 0ﭏﭏﭏﭏ0 >281001a281083
00065039 0️️️️0 <282080,282165d282165
00065039 0️️️️0 >281627a281710
00065071 0︯︯︯︯0 <282080,282165d282165
00065071 0︯︯︯︯0 >281652a281736
00065103 0﹏﹏﹏﹏0 <282080,282165d282165
00065103 0﹏﹏﹏﹏0 >281683a281768
00065279 0﻿﻿﻿﻿0 <282080,282165d282165
00065279 0﻿﻿﻿﻿0 >281849a281935
