
# Filtering out patterns with more than 20,000 distinct codepoints to preserve version control sanity.
#   Exceptions:
#   - full data for Basic Latin and Latin-1 Supplement blocks, aka ASCII & ISO-8859-1
#   - full data for pattern S-199, aka single-character strings
# 
# Filtered Pattern ID (total count of distinct codepoints in diff output), Pattern ID (codepoints), etc:
#   S-326 (22282x), S-585 (22435x), S-423 (22461x), S-426 (22432x), S-323 (22311x), S-324 (22311x), S-424 (22461x), S-583 (22283x), S-481 (22279x), S-420 (22406x) 

# CodePoint UnicodeBlock PatternID String PositionChange
00007d 0000 S-415 様}}様 -23713557,258028+23713557,38764
00007e 0000 S-335 ~~様 -21863564,258201+21863564,38935
00007e 0000 S-405 ~~様様 -23195960,258033+23195960,38768
00007e 0000 S-415 様~~様 -23713557,258028+23713557,38764
0000a1 0080 S-335 ¡¡様 -21863564,258201+21863564,38935
0000a1 0080 S-405 ¡¡様様 -23195960,258033+23195960,38768
0000a1 0080 S-415 様¡¡様 -23713557,258028+23713557,38764
0000a2 0080 S-335 ¢¢様 -21863564,258201+21863564,38935
0000a2 0080 S-405 ¢¢様様 -23195960,258033+23195960,38768
0000a2 0080 S-415 様¢¢様 -23713557,258028+23713557,38764
0000a3 0080 S-335 ££様 -21863564,258201+21863564,38935
0000a3 0080 S-405 ££様様 -23195960,258033+23195960,38768
0000a3 0080 S-415 様££様 -23713557,258028+23713557,38764
0000a4 0080 S-335 ¤¤様 -21863564,258201+21863564,38935
0000a4 0080 S-405 ¤¤様様 -23195960,258033+23195960,38768
0000a4 0080 S-415 様¤¤様 -23713557,258028+23713557,38764
0000a5 0080 S-335 ¥¥様 -21863564,258201+21863564,38935
0000a5 0080 S-405 ¥¥様様 -23195960,258033+23195960,38768
0000a5 0080 S-415 様¥¥様 -23713557,258028+23713557,38764
0000a6 0080 S-335 ¦¦様 -21863564,258201+21863564,38935
0000a6 0080 S-405 ¦¦様様 -23195960,258033+23195960,38768
0000a6 0080 S-415 様¦¦様 -23713557,258028+23713557,38764
0000a7 0080 S-335 §§様 -21863564,258201+21863564,38935
0000a7 0080 S-405 §§様様 -23195960,258033+23195960,38768
0000a7 0080 S-415 様§§様 -23713557,258028+23713557,38764
0000a8 0080 S-335 ¨¨様 -21863564,258201+21863564,38935
0000a8 0080 S-405 ¨¨様様 -23195960,258033+23195960,38768
0000a8 0080 S-415 様¨¨様 -23713557,258028+23713557,38764
0000a9 0080 S-335 ©©様 -21863564,258201+21863564,38935
0000a9 0080 S-405 ©©様様 -23195960,258033+23195960,38768
0000a9 0080 S-415 様©©様 -23713557,258028+23713557,38764
0000ab 0080 S-335 ««様 -21863564,258201+21863564,38935
0000ab 0080 S-405 ««様様 -23195960,258033+23195960,38768
0000ab 0080 S-415 様««様 -23713557,258028+23713557,38764
0000ac 0080 S-335 ¬¬様 -21863564,258201+21863564,38935
0000ac 0080 S-405 ¬¬様様 -23195960,258033+23195960,38768
