CodePoint String PositionChange
00000f23 B༣B >1602128a1601915,1601916
00000f23 ༣༣BB <1609165,1609244d1608972
00000f23 ༣BB <1609165,1609244d1608972
00000f23 B༣༣B <1609165,1609244d1608972
00000f23 B༣B <1609165,1609244d1608972
00000f23 ༣༣D >1082702a1082557,1082558
00000f23 ༣D >1082758a1082621,1082622
00000f23 ༣༣D <2687792,2687831d2687347
00000f23 ༣D <2687792,2687831d2687347
00000f23 ༣༣DD >1082716a1082573,1082574
00000f23 ༣DD >1082772a1082637,1082638
00000f23 D༣༣D >3202359a3201716,3201717
00000f23 D༣D >3202373a3201732,3201733
00000f23 ༣༣DD <3209518,3209597d3208897
00000f23 ༣DD <3209518,3209597d3208897
00000f23 D༣༣D <3209518,3209597d3208897
00000f23 D༣D <3209518,3209597d3208897
00000f24 ༤ >1082783a1082650,1082651
00000f24 ༤༤ >1082795a1082664,1082665
00000f24 1B-༤B >518266a518103,518106
00000f24 1B༤B >518266a518103,518106
00000f24 1B-༤B <521913,521952c521771,521772
00000f24 1B༤B <521913,521952c521771,521772
00000f24 ༤ <3415,3454d3416
00000f24 ༤༤ <3415,3454d3416
00000f24 ༤༤B >1082807a1082678,1082679
00000f24 ༤B >1082855a1082734,1082735
00000f24 ༤༤B <1087551,1087590d1087534
00000f24 ༤B <1087551,1087590d1087534
00000f24 ༤༤BB >1082819a1082692,1082693
00000f24 ༤BB >1082867a1082748,1082749
00000f24 B༤༤B >1602139a1601928,1601929
00000f24 B༤B >1602151a1601942,1601943
00000f24 ༤༤BB <1609165,1609244d1608972
00000f24 ༤BB <1609165,1609244d1608972
00000f24 B༤༤B <1609165,1609244d1608972
00000f24 B༤B <1609165,1609244d1608972
00000f24 ༤༤D >1082831a1082706,1082707
00000f24 ༤D >1082879a1082762,1082763
00000f24 ༤༤D <2687792,2687831d2687347
00000f24 ༤D <2687792,2687831d2687347
00000f24 ༤༤DD >1082843a1082720,1082721
00000f24 ༤DD >1082891a1082776,1082777
00000f24 D༤༤D >3202384a3201745,3201746
00000f24 D༤D >3202396a3201759,3201760
00000f24 ༤༤DD <3209518,3209597d3208897
00000f24 ༤DD <3209518,3209597d3208897
00000f24 D༤༤D <3209518,3209597d3208897
00000f24 D༤D <3209518,3209597d3208897
00000f25 ༥ >1082903a1082790,1082791
00000f25 ༥༥ >1082915a1082804,1082805
00000f25 1B-༥B >518290a518131,518134
00000f25 1B༥B >518290a518131,518134
00000f25 1B-༥B <521913,521952c521771,521772
00000f25 1B༥B <521913,521952c521771,521772
00000f25 ༥ <3415,3454d3416
00000f25 ༥༥ <3415,3454d3416
00000f25 ༥༥B >1082927a1082818,1082819
00000f25 ༥B >1082975a1082874,1082875
00000f25 ༥༥B <1087551,1087590d1087534
00000f25 ༥B <1087551,1087590d1087534
00000f25 ༥༥BB >1082939a1082832,1082833
00000f25 ༥BB >1082987a1082888,1082889
00000f25 B༥༥B >1602163a1601956,1601957
00000f25 B༥B >1602175a1601970,1601971
00000f25 ༥༥BB <1609165,1609244d1608972
00000f25 ༥BB <1609165,1609244d1608972
00000f25 B༥༥B <1609165,1609244d1608972
00000f25 B༥B <1609165,1609244d1608972
00000f25 ༥༥D >1082951a1082846,1082847
00000f25 ༥D >1082999a1082902,1082903
00000f25 ༥༥D <2687792,2687831d2687347
00000f25 ༥D <2687792,2687831d2687347
00000f25 ༥༥DD >1082963a1082860,1082861
00000f25 ༥DD >1083011a1082916,1082917
00000f25 D༥༥D >3202408a3201773,3201774
00000f25 D༥D >3202420a3201787,3201788
00000f25 ༥༥DD <3209518,3209597d3208897
00000f25 ༥DD <3209518,3209597d3208897
00000f25 D༥༥D <3209518,3209597d3208897
00000f25 D༥D <3209518,3209597d3208897
00000f26 ༦ >1083023a1082930,1082931
00000f26 ༦༦ >1083035a1082944,1082945
00000f26 1B-༦B >518314a518159,518162
00000f26 1B༦B >518314a518159,518162
00000f26 1B-༦B <521913,521952c521771,521772
00000f26 1B༦B <521913,521952c521771,521772
00000f26 ༦ <3415,3454d3416
00000f26 ༦༦ <3415,3454d3416
00000f26 ༦༦B >1083047a1082958,1082959
00000f26 ༦B >1083095a1083014,1083015
00000f26 ༦༦B <1087551,1087590d1087534
00000f26 ༦B <1087551,1087590d1087534
00000f26 ༦༦BB >1083059a1082972,1082973
00000f26 ༦BB >1083107a1083028,1083029
00000f26 B༦༦B >1602187a1601984,1601985
00000f26 B༦B >1602199a1601998,1601999
00000f26 ༦༦BB <1609165,1609244d1608972
00000f26 ༦BB <1609165,1609244d1608972
00000f26 B༦༦B <1609165,1609244d1608972
00000f26 B༦B <1609165,1609244d1608972
00000f26 ༦༦D >1083071a1082986,1082987
00000f26 ༦D >1083119a1083042,1083043
00000f26 ༦༦D <2687792,2687831d2687347
00000f26 ༦D <2687792,2687831d2687347
00000f26 ༦༦DD >1083083a1083000,1083001
00000f26 ༦DD >1083131a1083056,1083057
00000f26 D༦༦D >3202432a3201801,3201802
00000f26 D༦D >3202444a3201815,3201816
00000f26 ༦༦DD <3209518,3209597d3208897
00000f26 ༦DD <3209518,3209597d3208897
00000f26 D༦༦D <3209518,3209597d3208897
00000f26 D༦D <3209518,3209597d3208897
00000f27 ༧ >1083143a1083070,1083071
00000f27 ༧༧ >1083155a1083084,1083085
00000f27 1B-༧B >518338a518187,518190
00000f27 1B༧B >518338a518187,518190
00000f27 1B-༧B <521913,521952c521771,521772
00000f27 1B༧B <521913,521952c521771,521772
00000f27 ༧ <3415,3454d3416
00000f27 ༧༧ <3415,3454d3416
00000f27 ༧༧B >1083167a1083098,1083099
00000f27 ༧B >1083215a1083154,1083155
00000f27 ༧༧B <1087551,1087590d1087534
00000f27 ༧B <1087551,1087590d1087534
00000f27 ༧༧BB >1083179a1083112,1083113
00000f27 ༧BB >1083227a1083168,1083169
00000f27 B༧༧B >1602211a1602012,1602013
00000f27 B༧B >1602223a1602026,1602027
00000f27 ༧༧BB <1609165,1609244d1608972
00000f27 ༧BB <1609165,1609244d1608972
00000f27 B༧༧B <1609165,1609244d1608972
00000f27 B༧B <1609165,1609244d1608972
00000f27 ༧༧D >1083191a1083126,1083127
00000f27 ༧D >1083239a1083182,1083183
00000f27 ༧༧D <2687792,2687831d2687347
00000f27 ༧D <2687792,2687831d2687347
00000f27 ༧༧DD >1083203a1083140,1083141
00000f27 ༧DD >1083251a1083196,1083197
00000f27 D༧༧D >3202456a3201829,3201830
00000f27 D༧D >3202468a3201843,3201844
00000f27 ༧༧DD <3209518,3209597d3208897
00000f27 ༧DD <3209518,3209597d3208897
00000f27 D༧༧D <3209518,3209597d3208897
00000f27 D༧D <3209518,3209597d3208897
00000f28 ༨ >1083263a1083210,1083211
00000f28 ༨༨ >1083275a1083224,1083225
00000f28 1B-༨B >518362a518215,518218
00000f28 1B༨B >518362a518215,518218
00000f28 1B-༨B <521913,521952c521771,521772
00000f28 1B༨B <521913,521952c521771,521772
00000f28 ༨ <3415,3454d3416
00000f28 ༨༨ <3415,3454d3416
00000f28 ༨༨B >1083287a1083238,1083239
00000f28 ༨B >1083335a1083294,1083295
00000f28 ༨༨B <1087551,1087590d1087534
00000f28 ༨B <1087551,1087590d1087534
00000f28 ༨༨BB >1083299a1083252,1083253
00000f28 ༨BB >1083347a1083308,1083309
00000f28 B༨༨B >1602235a1602040,1602041
00000f28 B༨B >1602247a1602054,1602055
00000f28 ༨༨BB <1609165,1609244d1608972
00000f28 ༨BB <1609165,1609244d1608972
00000f28 B༨༨B <1609165,1609244d1608972
00000f28 B༨B <1609165,1609244d1608972
00000f28 ༨༨D >1083311a1083266,1083267
00000f28 ༨D >1083359a1083322,1083323
00000f28 ༨༨D <2687792,2687831d2687347
00000f28 ༨D <2687792,2687831d2687347
00000f28 ༨༨DD >1083323a1083280,1083281
00000f28 ༨DD >1083371a1083336,1083337
00000f28 D༨༨D >3202480a3201857,3201858
00000f28 D༨D >3202492a3201871,3201872
00000f28 ༨༨DD <3209518,3209597d3208897
00000f28 ༨DD <3209518,3209597d3208897
00000f28 D༨༨D <3209518,3209597d3208897
00000f28 D༨D <3209518,3209597d3208897
00000f29 ༩ >1083383a1083350,1083351
00000f29 ༩༩ >1083395a1083364,1083365
00000f29 1B-༩B >518386a518243,518246
00000f29 1B༩B >518386a518243,518246
00000f29 1B-༩B <521913,521952c521771,521772
00000f29 1B༩B <521913,521952c521771,521772
00000f29 ༩ <3415,3454d3416
00000f29 ༩༩ <3415,3454d3416
00000f29 ༩༩B >1083407a1083378,1083379
00000f29 ༩B >1083455a1083434,1083435
00000f29 ༩༩B <1087551,1087590d1087534
00000f29 ༩B <1087551,1087590d1087534
00000f29 ༩༩BB >1083419a1083392,1083393
00000f29 ༩BB >1083467a1083448,1083449
00000f29 B༩༩B >1602259a1602068,1602069
00000f29 B༩B >1602271a1602082,1602083
00000f29 ༩༩BB <1609165,1609244d1608972
00000f29 ༩BB <1609165,1609244d1608972
00000f29 B༩༩B <1609165,1609244d1608972
00000f29 B༩B <1609165,1609244d1608972
00000f29 ༩༩D >1083431a1083406,1083407
00000f29 ༩D >1083479a1083462,1083463
00000f29 ༩༩D <2687792,2687831d2687347
00000f29 ༩D <2687792,2687831d2687347
00000f29 ༩༩DD >1083443a1083420,1083421
00000f29 ༩DD >1083491a1083476,1083477
00000f29 D༩༩D >3202504a3201885,3201886
00000f29 D༩D >3202516a3201899,3201900
00000f29 ༩༩DD <3209518,3209597d3208897
00000f29 ༩DD <3209518,3209597d3208897
00000f29 D༩༩D <3209518,3209597d3208897
00000f29 D༩D <3209518,3209597d3208897
00000f2a 1B-༪B >518188a518013,518016
00000f2a 1B༪B >518188a518013,518016
00000f2a 1B-༪B <521913,521952c521771,521772
00000f2a 1B༪B <521913,521952c521771,521772
00000f2a ༪ <3415,3454d3416
00000f2a ༪༪ <3415,3454d3416
00000f2a ༪ >518036a517843,517844
00000f2a ༪༪ >518050a517859,517860
00000f2a ༪༪B <1087551,1087590d1087534
00000f2a ༪B <1087551,1087590d1087534
00000f2a ༪༪B >518064a517875,517876
00000f2a ༪B >518120a517939,517940
00000f2a B༪༪B >1602058a1601835,1601836
00000f2a B༪B >1602072a1601851,1601852
00000f2a ༪༪BB <1609165,1609244d1608972
00000f2a ༪BB <1609165,1609244d1608972
00000f2a B༪༪B <1609165,1609244d1608972
00000f2a B༪B <1609165,1609244d1608972
00000f2a ༪༪BB >518078a517891,517892
00000f2a ༪BB >521913,521952c521771,521772
00000f2a ༪D >1082478a1082301,1082302
00000f2a ༪༪D <2687792,2687831d2687347
00000f2a ༪D <2687792,2687831d2687347
00000f2a ༪༪D >518092a517907,517908
00000f2a ༪DD >1082492a1082317,1082318
00000f2a D༪༪D >3202303a3201652,3201653
00000f2a D༪D >3202317a3201668,3201669
00000f2a ༪༪DD <3209518,3209597d3208897
00000f2a ༪DD <3209518,3209597d3208897
00000f2a D༪༪D <3209518,3209597d3208897
00000f2a D༪D <3209518,3209597d3208897
00000f2a ༪༪DD >518106a517923,517924
00000f2b ༫ >1082506a1082333,1082334
00000f2b ༫༫ >1082520a1082349,1082350
00000f2b 1B-༫B >518216a518045,518048
00000f2b 1B༫B >518216a518045,518048
00000f2b 1B-༫B <521913,521952c521771,521772
00000f2b 1B༫B <521913,521952c521771,521772
00000f2b ༫ <3415,3454d3416
00000f2b ༫༫ <3415,3454d3416
00000f2b ༫༫B >1082534a1082365,1082366
